Day,Day Name,Activity,Avg Employees,Max Employees,Min Employees
1,Mon,Activity 1,2.838235294117647,7,1
1,Mon,Activity 2,2.272727272727273,6,1
2,Tue,Activity 1,4.426666666666667,10,1
2,Tue,Activity 2,3.0128205128205128,9,1
3,Wed,Activity 1,4.193548387096774,9,1
3,Wed,Activity 2,3.5789473684210527,10,1
4,Thu,Activity 1,3.949367088607595,10,1
4,Thu,Activity 2,2.533333333333333,9,1
5,Fri,Activity 1,4.151898734177215,8,1
5,Fri,Activity 2,2.3846153846153846,6,1
6,Sat,Activity 1,4.053333333333334,10,1
6,Sat,Activity 2,2.703125,8,1
7,Sun,Activity 1,3.9523809523809526,10,1
7,Sun,Activity 2,2.76056338028169,9,1
