Hour,Activity,Avg Employees,Max Employees,Min Employees
0,Activity 1,2.7058823529411766,5,1
0,Activity 2,1.6,3,1
1,Activity 1,2.5,5,1
1,Activity 2,2.0555555555555554,4,1
2,Activity 1,2.3043478260869565,4,1
2,Activity 2,2.3684210526315788,5,1
3,Activity 1,3.0,7,1
3,Activity 2,2.3333333333333335,5,1
4,Activity 1,4.125,7,1
4,Activity 2,3.142857142857143,8,1
5,Activity 1,4.708333333333333,10,1
5,Activity 2,2.9166666666666665,8,1
6,Activity 1,6.04,10,1
6,Activity 2,2.8333333333333335,5,1
7,Activity 1,5.0,10,1
7,Activity 2,2.9473684210526314,6,1
8,Activity 1,4.730769230769231,8,1
8,Activity 2,3.3684210526315788,6,1
9,Activity 1,6.333333333333333,11,2
9,Activity 2,2.8421052631578947,7,1
10,Activity 1,6.08,11,1
10,Activity 2,4.4,9,1
11,Activity 1,5.666666666666667,11,1
11,Activity 2,3.08,7,1
12,Activity 1,4.555555555555555,9,1
12,Activity 2,3.125,8,1
13,Activity 1,5.625,10,2
13,Activity 2,3.0526315789473686,8,1
14,Activity 1,4.6,10,2
14,Activity 2,3.9047619047619047,8,1
15,Activity 1,4.642857142857143,10,1
15,Activity 2,4.0,10,1
16,Activity 1,4.269230769230769,8,1
16,Activity 2,2.6,6,1
17,Activity 1,3.074074074074074,5,1
17,Activity 2,2.235294117647059,5,1
18,Activity 1,2.56,5,1
18,Activity 2,2.0,4,1
19,Activity 1,2.227272727272727,5,1
19,Activity 2,1.7058823529411764,4,1
20,Activity 1,2.4615384615384617,4,1
20,Activity 2,1.5,3,1
21,Activity 1,2.375,4,1
21,Activity 2,1.625,3,1
22,Activity 1,2.4,4,1
22,Activity 2,2.4,3,1
