Scenario,Day,Day Name,Period,Time,Activity,Demand,Coverage,Gap,Status
3,1,Mon,1,00:00,Activity 1,1,0,-1,Undercover
3,1,Mon,1,00:00,Activity 2,2,2,0,Exact
3,1,Mon,2,00:15,Activity 1,0,0,0,Exact
3,1,Mon,2,00:15,Activity 2,2,2,0,Exact
3,1,Mon,3,00:30,Activity 1,3,2,-1,Undercover
3,1,Mon,3,00:30,Activity 2,7,0,-7,Undercover
3,1,Mon,4,00:45,Activity 1,5,2,-3,Undercover
3,1,Mon,4,00:45,Activity 2,2,2,0,Exact
3,1,Mon,5,01:00,Activity 1,3,1,-2,Undercover
3,1,Mon,5,01:00,Activity 2,3,3,0,Exact
3,1,Mon,6,01:15,Activity 1,2,0,-2,Undercover
3,1,Mon,6,01:15,Activity 2,4,4,0,Exact
3,1,Mon,7,01:30,Activity 1,3,3,0,Exact
3,1,Mon,7,01:30,Activity 2,4,1,-3,Undercover
3,1,Mon,8,01:45,Activity 1,2,3,1,Overcover
3,1,Mon,8,01:45,Activity 2,1,1,0,Exact
3,1,Mon,9,02:00,Activity 1,1,1,0,Exact
3,1,Mon,9,02:00,Activity 2,0,3,3,Overcover
3,1,Mon,10,02:15,Activity 1,2,2,0,Exact
3,1,Mon,10,02:15,Activity 2,0,2,2,Overcover
3,1,Mon,11,02:30,Activity 1,1,1,0,Exact
3,1,Mon,11,02:30,Activity 2,0,3,3,Overcover
3,1,Mon,12,02:45,Activity 1,4,4,0,Exact
3,1,Mon,12,02:45,Activity 2,0,2,2,Overcover
3,1,Mon,13,03:00,Activity 1,1,1,0,Exact
3,1,Mon,13,03:00,Activity 2,1,5,4,Overcover
3,1,Mon,14,03:15,Activity 1,4,4,0,Exact
3,1,Mon,14,03:15,Activity 2,3,2,-1,Undercover
3,1,Mon,15,03:30,Activity 1,5,5,0,Exact
3,1,Mon,15,03:30,Activity 2,1,1,0,Exact
3,1,Mon,16,03:45,Activity 1,2,4,2,Overcover
3,1,Mon,16,03:45,Activity 2,1,1,0,Exact
3,1,Mon,17,04:00,Activity 1,4,4,0,Exact
3,1,Mon,17,04:00,Activity 2,0,1,1,Overcover
3,1,Mon,18,04:15,Activity 1,3,3,0,Exact
3,1,Mon,18,04:15,Activity 2,3,2,-1,Undercover
3,1,Mon,19,04:30,Activity 1,1,3,2,Overcover
