Day,Day Name,Activity,Total Demand,Total Coverage,Total Gap,% Overcover Periods,% Undercover Periods
1,Mon,Activity 1,337,204,-133,7.291666666666667,54.16666666666666
1,Mon,Activity 2,164,114,-50,13.541666666666666,37.5
2,Tue,Activity 1,393,351,-42,18.75,34.375
2,Tue,Activity 2,163,216,53,32.29166666666667,21.875
3,Wed,Activity 1,401,280,-121,12.5,41.66666666666667
3,Wed,Activity 2,173,184,11,22.916666666666664,34.375000000000014
4,Thu,Activity 1,408,312,-96,14.583333333333334,45.83333333333334
4,Thu,Activity 2,143,152,9,18.75,28.125
5,Fri,Activity 1,487,330,-157,10.416666666666668,52.08333333333333
5,Fri,Activity 2,229,153,-76,12.5,42.70833333333333
6,Sat,Activity 1,657,334,-323,1.0416666666666665,79.16666666666666
6,Sat,Activity 2,262,143,-119,8.333333333333332,52.08333333333334
7,Sun,Activity 1,455,377,-78,15.625,41.66666666666667
7,Sun,Activity 2,184,151,-33,16.666666666666664,35.41666666666667
