Shift ID,Day,Day Name,Start Time,End Time,Length (hours),Type,Employees
3,1,Mon,00:00,04:00,4.0,4-hour,2
5,1,Mon,01:00,07:00,6.0,6-hour,2
10,1,Mon,03:00,11:00,8.0,8-hour,2
13,1,Mon,04:00,12:00,8.0,8-hour,1
16,1,Mon,05:00,13:00,8.0,8-hour,3
44,1,Mon,14:00,20:00,6.0,6-hour,2
49,2,Tue,00:00,08:00,8.0,8-hour,1
52,2,Tue,01:00,09:00,8.0,8-hour,3
56,2,Tue,02:00,08:00,6.0,6-hour,3
64,2,Tue,05:00,13:00,8.0,8-hour,2
68,2,Tue,06:00,12:00,6.0,6-hour,2
75,2,Tue,08:00,12:00,4.0,4-hour,2
79,2,Tue,10:00,18:00,8.0,8-hour,3
85,2,Tue,12:00,20:00,8.0,8-hour,4
119,3,Wed,07:00,13:00,6.0,6-hour,3
121,3,Wed,08:00,16:00,8.0,8-hour,2
124,3,Wed,09:00,17:00,8.0,8-hour,3
125,3,Wed,09:00,15:00,6.0,6-hour,2
131,3,Wed,11:00,17:00,6.0,6-hour,1
142,3,Wed,15:00,23:00,8.0,8-hour,5
149,4,Thu,01:00,07:00,6.0,6-hour,2
157,4,Thu,04:00,12:00,8.0,8-hour,2
162,4,Thu,05:00,09:00,4.0,4-hour,3
170,4,Thu,08:00,14:00,6.0,6-hour,1
172,4,Thu,09:00,17:00,8.0,8-hour,2
173,4,Thu,09:00,15:00,6.0,6-hour,3
176,4,Thu,10:00,16:00,6.0,6-hour,2
184,4,Thu,13:00,21:00,8.0,8-hour,3
193,5,Fri,00:00,08:00,8.0,8-hour,5
211,5,Fri,06:00,14:00,8.0,8-hour,2
218,5,Fri,08:00,14:00,6.0,6-hour,2
220,5,Fri,09:00,17:00,8.0,8-hour,3
233,5,Fri,13:00,19:00,6.0,6-hour,1
236,5,Fri,14:00,20:00,6.0,6-hour,4
241,6,Sat,00:00,08:00,8.0,8-hour,3
253,6,Sat,04:00,12:00,8.0,8-hour,2
254,6,Sat,04:00,10:00,6.0,6-hour,2
260,6,Sat,06:00,12:00,6.0,6-hour,3
272,6,Sat,10:00,16:00,6.0,6-hour,2
275,6,Sat,11:00,17:00,6.0,6-hour,2
280,6,Sat,13:00,21:00,8.0,8-hour,1
281,6,Sat,13:00,19:00,6.0,6-hour,3
293,7,Sun,01:00,07:00,6.0,6-hour,3
301,7,Sun,04:00,12:00,8.0,8-hour,2
305,7,Sun,05:00,11:00,6.0,6-hour,3
311,7,Sun,07:00,13:00,6.0,6-hour,2
316,7,Sun,09:00,17:00,8.0,8-hour,2
317,7,Sun,09:00,15:00,6.0,6-hour,2
322,7,Sun,11:00,19:00,8.0,8-hour,2
334,7,Sun,15:00,23:00,8.0,8-hour,3
